time,dt,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bg_x,bg_y,bg_z,p00,p11,p22,p33,p44,p55,z_x,z_y,z_z,nis,S00,S11,S22,upd,x,y,z,vx,vy,vz,ba_x,ba_y,ba_z,zp_x,zp_y,zp_z,nis_p,Sp00,Sp11,Sp22,upd_p,Ppx,Ppy,Ppz,Pvx,Pvy,Pvz,Pbax,Pbay,Pbaz
1786181234.179797649,0.004314,0.999986823,-0.001501689,0.004908846,0.000037387,-0.172066,0.562520,0.003440,5.380182e-04,2.437071e-03,1.661853e-02,1.010766e-06,1.010766e-06,1.010766e-06,1.124190e-08,1.124190e-08,1.124190e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000103,-0.000113,-0.000120,0.000945,-0.001651,-0.000977,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.017561e-04,1.017561e-04,1.017512e-04,1.549588e-04,1.549588e-04,1.534725e-04,2.500031e-03,2.500031e-03,2.500031e-03
1786181234.185483932,0.005686,0.999986767,-0.001518953,0.004914851,0.000049717,-0.174038,0.563211,0.004842,5.380182e-04,2.437071e-03,1.661853e-02,1.011112e-06,1.011112e-06,1.011112e-06,1.129876e-08,1.129876e-08,1.129876e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000108,-0.000123,-0.000126,-0.000239,-0.001516,-0.000912,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.019401e-04,1.019401e-04,1.019341e-04,1.591760e-04,1.591760e-04,1.575498e-04,2.500032e-03,2.500032e-03,2.500032e-03
1786181234.189759731,0.004276,0.999986753,-0.001520548,0.004917090,0.000058936,-0.174215,0.563469,0.005897,5.380182e-04,2.437071e-03,1.661853e-02,1.011311e-06,1.011311e-06,1.011311e-06,1.134152e-08,1.134152e-08,1.134152e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000107,-0.000129,-0.000130,-0.000609,-0.001455,-0.000929,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.020861e-04,1.020861e-04,1.020792e-04,1.623707e-04,1.623707e-04,1.606355e-04,2.500034e-03,2.500034e-03,2.500034e-03
1786181234.195493221,0.005733,0.999986705,-0.001522717,0.004926191,0.000065181,-0.174460,0.564513,0.006610,5.380182e-04,2.437071e-03,1.661853e-02,1.011665e-06,1.011665e-06,1.011665e-06,1.139885e-08,1.139885e-08,1.139885e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000104,-0.000137,-0.000135,0.000282,-0.001318,-0.001090,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.022922e-04,1.022922e-04,1.022840e-04,1.669236e-04,1.669236e-04,1.650368e-04,2.500035e-03,2.500035e-03,2.500035e-03
1786181234.199926615,0.004433,0.999986701,-0.001517321,0.004928502,0.000067621,-0.173840,0.564778,0.006892,5.380182e-04,2.437071e-03,1.661853e-02,1.011879e-06,1.011879e-06,1.011879e-06,1.144319e-08,1.144319e-08,1.144319e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000105,-0.000143,-0.000140,0.001459,-0.001341,-0.001294,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.024601e-04,1.024601e-04,1.024508e-04,1.704779e-04,1.704779e-04,1.684699e-04,2.500036e-03,2.500036e-03,2.500036e-03
1786181234.205504656,0.005578,0.999986718,-0.001516503,0.004925458,0.000064787,-0.173748,0.564429,0.006568,5.380182e-04,2.437071e-03,1.661853e-02,1.012216e-06,1.012216e-06,1.012216e-06,1.149897e-08,1.149897e-08,1.149897e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000113,-0.000151,-0.000147,0.002337,-0.001570,-0.001650,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.026822e-04,1.026822e-04,1.026713e-04,1.751865e-04,1.751866e-04,1.730208e-04,2.500037e-03,2.500037e-03,2.500037e-03
1786181234.209739447,0.004235,0.999986764,-0.001515892,0.004916377,0.000060391,-0.173681,0.563387,0.006066,5.380182e-04,2.437071e-03,1.661853e-02,1.012413e-06,1.012413e-06,1.012413e-06,1.154132e-08,1.154132e-08,1.154132e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000123,-0.000157,-0.000154,0.002166,-0.001692,-0.001476,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.028592e-04,1.028592e-04,1.028470e-04,1.787886e-04,1.787886e-04,1.764978e-04,2.500039e-03,2.500039e-03,2.500039e-03
1786181234.215524197,0.005785,0.999986742,-0.001530449,0.004916301,0.000057523,-0.175351,0.563378,0.005730,5.380182e-04,2.437071e-03,1.661853e-02,1.012775e-06,1.012775e-06,1.012775e-06,1.159916e-08,1.159916e-08,1.159916e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000135,-0.000167,-0.000163,0.001020,-0.001690,-0.000994,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.031128e-04,1.031128e-04,1.030985e-04,1.839895e-04,1.839895e-04,1.815214e-04,2.500040e-03,2.500040e-03,2.500040e-03
1786181234.219686031,0.004162,0.999986725,-0.001534240,0.004918474,0.000062074,-0.175782,0.563628,0.006249,5.380182e-04,2.437071e-03,1.661853e-02,1.012967e-06,1.012967e-06,1.012967e-06,1.164078e-08,1.164078e-08,1.164078e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000140,-0.000174,-0.000167,0.000065,-0.001699,-0.000826,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.033042e-04,1.033042e-04,1.032884e-04,1.877411e-04,1.877411e-04,1.851419e-04,2.500041e-03,2.500041e-03,2.500041e-03
1786181234.225484610,0.005799,0.999986706,-0.001536418,0.004921505,0.000071487,-0.176027,0.563977,0.007326,5.380182e-04,2.437071e-03,1.661853e-02,1.013332e-06,1.013332e-06,1.013332e-06,1.169877e-08,1.169877e-08,1.169877e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000140,-0.000184,-0.000172,-0.000449,-0.001712,-0.000877,5.685109e-04,1.883433e-04,-5.691515e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0,1.035833e-04,1.035833e-04,1.035650e-04,1.932538e-04,1.932538e-04,1.904673e-04,2.500042e-03,2.500042e-03,2.500042e-03
