time,dt,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bg_x,bg_y,bg_z,p00,p11,p22,p33,p44,p55,z_x,z_y,z_z,nis,S00,S11,S22,upd
1786181234.215524197,0.005785,0.999984871,-0.001480849,0.005113238,0.001385774,-0.168887,0.586170,0.157936,0.000000e+00,0.000000e+00,0.000000e+00,1.012776e-06,1.012776e-06,1.012775e-06,1.159916e-08,1.159916e-08,1.159916e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.219686031,0.004162,0.999984775,-0.001483352,0.005120529,0.001424894,-0.169150,0.587013,0.162417,0.000000e+00,0.000000e+00,0.000000e+00,1.012968e-06,1.012968e-06,1.012967e-06,1.164078e-08,1.164078e-08,1.164078e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.225484610,0.005799,0.999984638,-0.001483735,0.005130696,0.001482471,-0.169158,0.588188,0.169013,0.000000e+00,0.000000e+00,0.000000e+00,1.013333e-06,1.013333e-06,1.013332e-06,1.169877e-08,1.169877e-08,1.169877e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.229781151,0.004297,0.999984523,-0.001488623,0.005140505,0.001520577,-0.169694,0.589319,0.173375,0.000000e+00,0.000000e+00,0.000000e+00,1.013538e-06,1.013538e-06,1.013537e-06,1.174173e-08,1.174173e-08,1.174173e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.235511303,0.005730,0.999984465,-0.001455368,0.005141462,0.001586471,-0.165845,0.589434,0.180946,0.000000e+00,0.000000e+00,0.000000e+00,1.013896e-06,1.013896e-06,1.013896e-06,1.179904e-08,1.179904e-08,1.179904e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.239639521,0.004128,0.999984463,-0.001429261,0.005137741,0.001622945,-0.162832,0.589009,0.185142,0.000000e+00,0.000000e+00,0.000000e+00,1.014087e-06,1.014087e-06,1.014087e-06,1.184032e-08,1.184032e-08,1.184032e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.245501041,0.005862,0.999984429,-0.001423514,0.005135502,0.001656158,-0.162154,0.588756,0.188951,0.000000e+00,0.000000e+00,0.000000e+00,1.014463e-06,1.014463e-06,1.014462e-06,1.189893e-08,1.189893e-08,1.189893e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.249692440,0.004191,0.999984326,-0.001430535,0.005142825,0.001688882,-0.162938,0.589602,0.192696,0.000000e+00,0.000000e+00,0.000000e+00,1.014660e-06,1.014660e-06,1.014660e-06,1.194085e-08,1.194085e-08,1.194085e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.255512714,0.005820,0.999984184,-0.001446570,0.005156061,0.001718850,-0.164756,0.591127,0.196119,0.000000e+00,0.000000e+00,0.000000e+00,1.015032e-06,1.015032e-06,1.015032e-06,1.199905e-08,1.199905e-08,1.199905e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
1786181234.259491444,0.003979,0.999984069,-0.001440422,0.005163062,0.001768920,-0.164020,0.591936,0.201859,0.000000e+00,0.000000e+00,0.000000e+00,1.015212e-06,1.015212e-06,1.015211e-06,1.203884e-08,1.203884e-08,1.203884e-08,0.000000e+00,0.000000e+00,0.000000e+00,0.000000,0.000000e+00,0.000000e+00,0.000000e+00,0
